feature,mae_without,mae_std,impact,importance_pct,rank
BASELINE (all features),3.6490675369237855,1.0488112609747051,0.0,0.0,0.0
sqrt_time,3.6680990577015415,0.9794514227394799,0.01903152077775605,0.5215447668529557,1.0
is_call,3.6429879599381167,0.994261954275396,-0.006079576985668744,-0.1666063158368922,2.0
time_to_expiry,3.638840832943056,1.0039765697054612,-0.010226703980729557,-0.28025526733196093,3.0
time_squared,3.6319674130313664,1.0067729378102448,-0.017100123892419106,-0.46861626208307305,4.0
distance_from_atm,3.6222580908465623,0.9516803368912273,-0.026809446077223242,-0.734693063527785,5.0
moneyness,3.6222386731464105,0.9615292272449653,-0.026828863777375034,-0.7352251912550827,6.0
log_moneyness,3.6222237115211215,0.9615390174686657,-0.026843825402663946,-0.7356352035428114,7.0
moneyness_squared,3.599949682736933,0.9918961553918223,-0.04911785418685266,-1.3460385068197367,8.0
moneyness_sqrt_time,3.587662849440335,0.995880237343371,-0.061404687483450626,-1.6827500960756574,9.0
log_moneyness_time,3.5781054357472812,1.0438788506306418,-0.07096210117650426,-1.9446639575305391,10.0
moneyness_time,3.568024672928657,1.051147470252875,-0.08104286399512839,-2.220919815133064,11.0
intrinsic_value,3.4703795592934696,0.8881601283662437,-0.17868797763031585,-4.896812016281625,12.0
